IRMREFNUMBER|REMITTANCEAMOUNT|REMITTANCEDATE|ADCODE|REMITTANCECURRENCY|IECODE|REMITTERNAME|REMITTERCOUNTRY|PURPOSEOFREMITTANCE|IFSCCODE|INRCREDITAMOUNT|PANNUMBER|BANKREFNUMBER|BANKACCNUM|REMITTANCEISSUEDATE
IRMFRESH00041|1000|2025-06-15|0180046|USD|1234567890|BadDate 41|US|P0101|SBIN0001234|82500.25|ABCDE1234F|BR041|ACC00041|20/06/2025
IRMFRESH00042|1000|2025-06-15|0180046|USD|1234567890|BadDate 42|US|P0101|SBIN0001234|82500.25|ABCDE1234F|BR042|ACC00042|20/06/2025
IRMFRESH00043|1000|2025-06-15|0180046|USD|1234567890|BadDate 43|US|P0101|SBIN0001234|82500.25|ABCDE1234F|BR043|ACC00043|20/06/2025
IRMFRESH00044|1000|2025-06-15|0180046|USD|1234567890|BadDate 44|US|P0101|SBIN0001234|82500.25|ABCDE1234F|BR044|ACC00044|20/06/2025
IRMFRESH00045|1000|2025-06-15|0180046|USD|1234567890|BadDate 45|US|P0101|SBIN0001234|82500.25|ABCDE1234F|BR045|ACC00045|20/06/2025
IRMFRESH00046|1000|15/06/2025|0180046|USD|1234567890|BadIFSC 46|US|P0101|BADIFSC|82500.25|ABCDE1234F|BR046|ACC00046|20/06/2025
IRMFRESH00047|1000|15/06/2025|0180046|USD|1234567890|BadIFSC 47|US|P0101|BADIFSC|82500.25|ABCDE1234F|BR047|ACC00047|20/06/2025
IRMFRESH00048|1000|15/06/2025|0180046|USD|1234567890|BadIFSC 48|US|P0101|BADIFSC|82500.25|ABCDE1234F|BR048|ACC00048|20/06/2025
IRMFRESH00049|1000|15/06/2025|0180046|USD|1234567890|BadIFSC 49|US|P0101|BADIFSC|82500.25|ABCDE1234F|BR049|ACC00049|20/06/2025
IRMFRESH00050|1000|15/06/2025|0180046|USD|1234567890|BadIFSC 50|US|P0101|BADIFSC|82500.25|ABCDE1234F|BR050|ACC00050|20/06/2025
IRMFRESH00051|1000|15/06/2025|0180046|USD|1234567890|BadPAN 51|US|P0101|SBIN0001234|82500.25|12345|BR051|ACC00051|20/06/2025
IRMFRESH00052|1000|15/06/2025|0180046|USD|1234567890|BadPAN 52|US|P0101|SBIN0001234|82500.25|12345|BR052|ACC00052|20/06/2025
IRMFRESH00053|1000|15/06/2025|0180046|USD|1234567890|BadPAN 53|US|P0101|SBIN0001234|82500.25|12345|BR053|ACC00053|20/06/2025
IRMFRESH00054|1000|15/06/2025|0180046|USD|1234567890|BadPAN 54|US|P0101|SBIN0001234|82500.25|12345|BR054|ACC00054|20/06/2025
IRMFRESH00055|1000|15/06/2025|0180046|USD|1234567890|BadPAN 55|US|P0101|SBIN0001234|82500.25|12345|BR055|ACC00055|20/06/2025
IRMFRESH00056|1000|15/06/2025|0180046|USD|1234567890|BadPurpose 56|US|P9999|SBIN0001234|82500.25|ABCDE1234F|BR056|ACC00056|20/06/2025
IRMFRESH00057|1000|15/06/2025|0180046|USD|1234567890|BadPurpose 57|US|P9999|SBIN0001234|82500.25|ABCDE1234F|BR057|ACC00057|20/06/2025
IRMFRESH00058|1000|15/06/2025|0180046|USD|1234567890|BadPurpose 58|US|P9999|SBIN0001234|82500.25|ABCDE1234F|BR058|ACC00058|20/06/2025
IRMFRESH00059|1000|15/06/2025|0180046|USD|1234567890|BadPurpose 59|US|P9999|SBIN0001234|82500.25|ABCDE1234F|BR059|ACC00059|20/06/2025
IRMFRESH00060|1000|15/06/2025|0180046|USD|1234567890|BadPurpose 60|US|P9999|SBIN0001234|82500.25|ABCDE1234F|BR060|ACC00060|20/06/2025
