IRMREFNUMBER|REMITTANCEAMOUNT|REMITTANCEDATE|ADCODE|REMITTANCECURRENCY|IECODE|REMITTERNAME|REMITTERCOUNTRY|PURPOSEOFREMITTANCE|IFSCCODE|INRCREDITAMOUNT|PANNUMBER|BANKREFNUMBER|BANKACCNUM|REMITTANCEISSUEDATE
IRMFAIL00041|1000|2025-06-15|0180046|USD|1234567841|FailDate41|US|P0101|SBIN0001234|85000|ABCDE0041Z|BRF41|ACCF41|20/06/2025
IRMFAIL00042|1000|2025-06-15|0180046|USD|1234567842|FailDate42|US|P0101|SBIN0001234|85000|ABCDE0042Z|BRF42|ACCF42|20/06/2025
IRMFAIL00043|1000|2025-06-15|0180046|USD|1234567843|FailDate43|US|P0101|SBIN0001234|85000|ABCDE0043Z|BRF43|ACCF43|20/06/2025
IRMFAIL00044|1000|2025-06-15|0180046|USD|1234567844|FailDate44|US|P0101|SBIN0001234|85000|ABCDE0044Z|BRF44|ACCF44|20/06/2025
IRMFAIL00045|1000|2025-06-15|0180046|USD|1234567845|FailDate45|US|P0101|SBIN0001234|85000|ABCDE0045Z|BRF45|ACCF45|20/06/2025
IRMFAIL00046|1000|15/06/2025|0180046|USD|1234567846|FailIfsc46|US|P0101|BADIFSC|85000|ABCDE0046Z|BRF46|ACCF46|20/06/2025
IRMFAIL00047|1000|15/06/2025|0180046|USD|1234567847|FailIfsc47|US|P0101|BADIFSC|85000|ABCDE0047Z|BRF47|ACCF47|20/06/2025
IRMFAIL00048|1000|15/06/2025|0180046|USD|1234567848|FailIfsc48|US|P0101|BADIFSC|85000|ABCDE0048Z|BRF48|ACCF48|20/06/2025
IRMFAIL00049|1000|15/06/2025|0180046|USD|1234567849|FailIfsc49|US|P0101|BADIFSC|85000|ABCDE0049Z|BRF49|ACCF49|20/06/2025
IRMFAIL00050|1000|15/06/2025|0180046|USD|1234567850|FailIfsc50|US|P0101|BADIFSC|85000|ABCDE0050Z|BRF50|ACCF50|20/06/2025
IRMFAIL00051|1000|15/06/2025|0180046|USD|1234567851|FailPan51|US|P0101|SBIN0001234|85000|ABCDE|BRF51|ACCF51|20/06/2025
IRMFAIL00052|1000|15/06/2025|0180046|USD|1234567852|FailPan52|US|P0101|SBIN0001234|85000|ABCDE|BRF52|ACCF52|20/06/2025
IRMFAIL00053|1000|15/06/2025|0180046|USD|1234567853|FailPan53|US|P0101|SBIN0001234|85000|ABCDE|BRF53|ACCF53|20/06/2025
IRMFAIL00054|1000|15/06/2025|0180046|USD|1234567854|FailPan54|US|P0101|SBIN0001234|85000|ABCDE|BRF54|ACCF54|20/06/2025
IRMFAIL00055|1000|15/06/2025|0180046|USD|1234567855|FailPan55|US|P0101|SBIN0001234|85000|ABCDE|BRF55|ACCF55|20/06/2025
IRMFAIL00056|1000|15/06/2025|0180046|USD|1234567856|FailPurpose56|US|P9999|SBIN0001234|85000|ABCDE0056Z|BRF56|ACCF56|20/06/2025
IRMFAIL00057|1000|15/06/2025|0180046|USD|1234567857|FailPurpose57|US|P9999|SBIN0001234|85000|ABCDE0057Z|BRF57|ACCF57|20/06/2025
IRMFAIL00058|1000|15/06/2025|0180046|USD|1234567858|FailPurpose58|US|P9999|SBIN0001234|85000|ABCDE0058Z|BRF58|ACCF58|20/06/2025
IRMFAIL00059|1000|15/06/2025|0180046|USD|1234567859|FailPurpose59|US|P9999|SBIN0001234|85000|ABCDE0059Z|BRF59|ACCF59|20/06/2025
IRMFAIL00060|1000|15/06/2025|0180046|USD|1234567860|FailPurpose60|US|P9999|SBIN0001234|85000|ABCDE0060Z|BRF60|ACCF60|20/06/2025
