IRMREFNUMBER|REMITTANCEAMOUNT|REMITTANCEDATE|ADCODE|REMITTANCECURRENCY|IECODE|REMITTERNAME|REMITTERCOUNTRY|PURPOSEOFREMITTANCE|IFSCCODE|INRCREDITAMOUNT|PANNUMBER|BANKREFNUMBER|BANKACCNUM|REMITTANCEISSUEDATE
IRM300031|10310|14/08/2023|0180046|USD|1234567890|HTC REMITTER|US|P0101|KKBK0000462||ABCDE1234F|BREF000031|ACC0000031|14/08/2023
IRM300032|10320|14/08/2023|0180046|USD|1234567890|HTC REMITTER|US|P0101|KKBK0000462||ABCDE1234F|BREF000032|ACC0000032|14/08/2023
IRM300033|10330|14/08/2023|0180046|USD|1234567890|HTC REMITTER|US|P0101|KKBK0000462||ABCDE1234F|BREF000033|ACC0000033|14/08/2023
IRM300034|10340|14/08/2023|0180046|USD|1234567890|HTC REMITTER|US|P0101|KKBK0000462||ABCDE1234F|BREF000034|ACC0000034|14/08/2023
IRM300035|10350|14/08/2023|0180046|USD|1234567890|HTC REMITTER|US|P0101|KKBK0000462||ABCDE1234F|BREF000035|ACC0000035|14/08/2023
IRM300036|10360|14/08/2023|0180046|USD|1234567890|HTC REMITTER|US|P0101|KKBK0000462||ABCDE1234F|BREF000036|ACC0000036|14/08/2023
IRM300037|10370|14/08/2023|0180046|USD|1234567890|HTC REMITTER|US|P0101|KKBK0000462||ABCDE1234F|BREF000037|ACC0000037|14/08/2023
IRM300038|10380|14/08/2023|0180046|USD|1234567890|HTC REMITTER|US|P0101|KKBK0000462||ABCDE1234F|BREF000038|ACC0000038|14/08/2023
IRM300039|10390|14/08/2023|0180046|USD|1234567890|HTC REMITTER|US|P0101|KKBK0000462||ABCDE1234F|BREF000039|ACC0000039|14/08/2023
IRM300040|10400|14/08/2023|0180046|USD|1234567890|HTC REMITTER|US|P0101|KKBK0000462||ABCDE1234F|BREF000040|ACC0000040|14/08/2023
IRM400031|10000|14/08/2023|0180046|USD|1234567890|HTC REMITTER|US|P0101|KKBK0000462||ABCDE1234F|BREF#0001!!|ACC0000031|14/08/2023
|10000|14/08/2023|0180046|USD|1234567890|HTC REMITTER|US|P0101|KKBK0000462||ABCDE1234F|BREF000032|ACC0000032|14/08/2023
IRM-400033|10000|14/08/2023|0180046|USD|1234567890|HTC REMITTER|US|P0101|KKBK0000462||ABCDE1234F|BREF000033|ACC0000033|14/08/2023
IRM400034||14/08/2023|0180046|USD|1234567890|HTC REMITTER|US|P0101|KKBK0000462||ABCDE1234F|BREF000034|ACC0000034|14/08/2023
IRM400035|ABC|14/08/2023|0180046|USD|1234567890|HTC REMITTER|US|P0101|KKBK0000462||ABCDE1234F|BREF000035|ACC0000035|14/08/2023
IRM400036|1|14/08/2023|0180046|USD|1234567890|HTC REMITTER|US|P0101|KKBK0000462||ABCDE1234F|BREF000036|ACC0000036|14/08/2023
IRM400037|-50|14/08/2023|0180046|USD|1234567890|HTC REMITTER|US|P0101|KKBK0000462||ABCDE1234F|BREF000037|ACC0000037|14/08/2023
IRM400038|10000||0180046|USD|1234567890|HTC REMITTER|US|P0101|KKBK0000462||ABCDE1234F|BREF000038|ACC0000038|14/08/2023
IRM400039|10000|2023-08-14|0180046|USD|1234567890|HTC REMITTER|US|P0101|KKBK0000462||ABCDE1234F|BREF000039|ACC0000039|14/08/2023
IRM400040|10000|14/08/2099|0180046|USD|1234567890|HTC REMITTER|US|P0101|KKBK0000462||ABCDE1234F|BREF000040|ACC0000040|14/08/2023
