IRMREFNUMBER|REMITTANCEAMOUNT|REMITTANCEDATE|ADCODE|REMITTANCECURRENCY|IECODE|REMITTERNAME|REMITTERCOUNTRY|PURPOSEOFREMITTANCE|IFSCCODE|INRCREDITAMOUNT|PANNUMBER|BANKREFNUMBER|BANKACCNUM|REMITTANCEISSUEDATE
IRM100081|1000|15/06/2025|0180046|USD|1234567971|Remitter81|US|P0101|SBIN0001234|85000|ABCDE1081Z|BR81|ACC81|20/06/2025
IRM100082|1000|15/06/2025|0180046|USD|1234567972|Remitter82|US|P0101|SBIN0001234|85000|ABCDE1082Z|BR82|ACC82|20/06/2025
IRM100083|1000|15/06/2025|0180046|USD|1234567973|Remitter83|US|P0101|SBIN0001234|85000|ABCDE1083Z|BR83|ACC83|20/06/2025
IRM100084|1000|15/06/2025|0180046|USD|1234567974|Remitter84|US|P0101|SBIN0001234|85000|ABCDE1084Z|BR84|ACC84|20/06/2025
IRM100085|1000|15/06/2025|0180046|USD|1234567975|Remitter85|US|P0101|SBIN0001234|85000|ABCDE1085Z|BR85|ACC85|20/06/2025
IRM100086|1000|15/06/2025|0180046|USD|1234567976|Remitter86|US|P0101|SBIN0001234|85000|ABCDE1086Z|BR86|ACC86|20/06/2025
IRM100087|1000|15/06/2025|0180046|USD|1234567977|Remitter87|US|P0101|SBIN0001234|85000|ABCDE1087Z|BR87|ACC87|20/06/2025
IRM100088|1000|15/06/2025|0180046|USD|1234567978|Remitter88|US|P0101|SBIN0001234|85000|ABCDE1088Z|BR88|ACC88|20/06/2025
IRM100089|1000|15/06/2025|0180046|USD|1234567979|Remitter89|US|P0101|SBIN0001234|85000|ABCDE1089Z|BR89|ACC89|20/06/2025
IRM100090|1000|15/06/2025|0180046|USD|1234567980|Remitter90|US|P0101|SBIN0001234|85000|ABCDE1090Z|BR90|ACC90|20/06/2025
IRM100091|1000|15/06/2025|0180046|USD|1234567981|Remitter91|US|P0101|SBIN0001234|85000|ABCDE1091Z|BR91|ACC91|20/06/2025
IRM100092|1000|15/06/2025|0180046|USD|1234567982|Remitter92|US|P0101|SBIN0001234|85000|ABCDE1092Z|BR92|ACC92|20/06/2025
IRM100093|1000|15/06/2025|0180046|USD|1234567983|Remitter93|US|P0101|SBIN0001234|85000|ABCDE1093Z|BR93|ACC93|20/06/2025
IRM100094|1000|15/06/2025|0180046|USD|1234567984|Remitter94|US|P0101|SBIN0001234|85000|ABCDE1094Z|BR94|ACC94|20/06/2025
IRM100095|1000|15/06/2025|0180046|USD|1234567985|Remitter95|US|P0101|SBIN0001234|85000|ABCDE1095Z|BR95|ACC95|20/06/2025
IRM100096|1000|15/06/2025|0180046|USD|1234567986|Remitter96|US|P0101|SBIN0001234|85000|ABCDE1096Z|BR96|ACC96|20/06/2025
IRM100097|1000|15/06/2025|0180046|USD|1234567987|Remitter97|US|P0101|SBIN0001234|85000|ABCDE1097Z|BR97|ACC97|20/06/2025
IRM100098|1000|15/06/2025|0180046|USD|1234567988|Remitter98|US|P0101|SBIN0001234|85000|ABCDE1098Z|BR98|ACC98|20/06/2025
IRM100099|1000|15/06/2025|0180046|USD|1234567989|Remitter99|US|P0101|SBIN0001234|85000|ABCDE1099Z|BR99|ACC99|20/06/2025
IRM100100|1000|15/06/2025|0180046|USD|1234567990|Remitter100|US|P0101|SBIN0001234|85000|ABCDE1100Z|BR100|ACC100|20/06/2025
